Locality,Type,Rent/Month,Build_up_area(sq.ft),Furnishing,Bathrooms,Balcony,Parking,Carpet_area(sq.ft),
Worli,2 BHK Apartment,100000,1650 sq.ft,Fully Furnished,2,1,0,1350 sq.ft,Kilimani
Worli,3 BHK Apartment,100000,1683 sq.ft,Fully Furnished,4,Missing,2,1347 sq.ft,Kilimani
Worli,3 BHK Apartment,100000,2250 sq.ft,Fully Furnished,4,2,4,1550 sq.ft,Kilimani
Worli,2 BHK Apartment,100000,1250 sq.ft,Fully Furnished,3,Missing,2,860 sq.ft,Kilimani
Bandra,3 BHK Apartment,100000,1500 sq.ft,Fully Furnished,3,Missing,1,1350 sq.ft,Kilimani
Bandra,3 BHK Apartment,100000,1450 sq.ft,Fully Furnished,3,Missing,1,1200 sq.ft,Kilimani
Bandra,3 BHK Apartment,100000,1400 sq.ft,Fully Furnished,3,3,1,1300 sq.ft,Kilimani
Juhu,2 BHK Apartment,100000,1200 sq.ft,Fully Furnished,2,2,1,1000 sq.ft,Kilimani
Juhu,3 BHK Apartment,100000,1600 sq.ft,Fully Furnished,3,Missing,1,1300 sq.ft,Kilimani
Juhu,3 BHK Apartment,100000,2500 sq.ft,Fully Furnished,3,Missing,1,1600 sq.ft,Kilimani
Juhu,3 BHK Apartment,100000,1800 sq.ft,Fully Furnished,3,Missing,1,1200 sq.ft,Kilimani
Juhu,3 BHK Apartment,100000,2100 sq.ft,Fully Furnished,3,Missing,2,1700 sq.ft,Kilimani
Juhu,2 BHK Apartment,100000,1300 sq.ft,Fully Furnished,2,Missing,1,1000 sq.ft,Kilimani
Khar,3 BHK Apartment,100000,1450 sq.ft,Fully Furnished,3,1,1,1250 sq.ft,Kilimani
Khar,3 BHK Apartment,100000,3300 sq.ft,Fully Furnished,3,1,1,2200 sq.ft,Kilimani
Nariman Point,3 BHK Apartment,100000,1250 sq.ft,Fully Furnished,2,1,1,Missing,Kilimani
Parel,3 BHK Apartment,100000,2000 sq.ft,Fully Furnished,3,Missing,1,1800 sq.ft,Kilimani
Prabhadevi,3 BHK Apartment,100000,2200 sq.ft,Fully Furnished,3,1,2,1650 sq.ft,Kilimani
Prabhadevi,3 BHK Apartment,100000,1800 sq.ft,Fully Furnished,3,Missing,1,Missing,Kilimani
Prabhadevi,3 BHK Apartment,100000,1650 sq.ft,Fully Furnished,3,3,2,1450 sq.ft,Kilimani
Santacruz,3 BHK Apartment,100000,1700 sq.ft,Fully Furnished,3,1,2,1300 sq.ft,Kilimani
Vile Parle,3 BHK Apartment,100000,1800 sq.ft,Fully Furnished,3,1,1,1300 sq.ft,Kilimani
Worli,3 BHK Apartment,80000,1600 sq.ft,Unfurnished,3,Missing,2,Missing,Kilimani
Worli,2 BHK Apartment,100000,1250 sq.ft,Fully Furnished,2,Missing,2,900 sq.ft,Kilimani
Worli,3 BHK Apartment,100000,2130 sq.ft,Fully Furnished,4,1,3,1550 sq.ft,Kilimani
Juhu,3 BHK Apartment,100000,1440 sq.ft,Fully Furnished,3,Missing,2,1200 sq.ft,Kilimani
Juhu,3 BHK Apartment,100000,2150 sq.ft,Fully Furnished,3,Missing,1,1200 sq.ft,Kilimani
Juhu,2 BHK Apartment,100000,1450 sq.ft,Fully Furnished,3,2,2,1280 sq.ft,Kilimani
Khar,3 BHK Apartment,100000,1750 sq.ft,Fully Furnished,3,3,2,1350 sq.ft,Kilimani
Worli,3 BHK Apartment,80000,1680 sq.ft,Unfurnished,2,2,2,1262 sq.ft,Kilimani
Worli,3 BHK Apartment,100000,2000 sq.ft,Fully Furnished,3,3,2,1800 sq.ft,Kilimani
Worli,3 BHK Apartment,100000,2043 sq.ft,Fully Furnished,4,Missing,3,1240 sq.ft,Kilimani
Juhu,3 BHK Apartment,100000,1800 sq.ft,Fully Furnished,3,1,1,1300 sq.ft,Kilimani
Juhu,3 BHK Apartment,100000,1500 sq.ft,Fully Furnished,3,Missing,1,1100 sq.ft,Kilimani
Bandra,3 BHK Apartment,100000,1900 sq.ft,Fully Furnished,3,2,1,1400 sq.ft,Kilimani
Juhu,3 BHK Apartment,80000,1550 sq.ft,Unfurnished,3,Missing,1,1200 sq.ft,Kilimani
Juhu,3 BHK Apartment,100000,1750 sq.ft,Fully Furnished,3,4,1,1000 sq.ft,Kilimani
Khar,3 BHK Apartment,100000,1470 sq.ft,Fully Furnished,3,Missing,1,1150 sq.ft,Kilimani
Khar,3 BHK Apartment,100000,2100 sq.ft,Fully Furnished,3,1,2,1800 sq.ft,Kilimani
Powai,3 BHK Apartment,100000,1750 sq.ft,Fully Furnished,3,1,2,Missing,Kilimani
Prabhadevi,3 BHK Apartment,100000,1500 sq.ft,Fully Furnished,3,Missing,3,Missing,Kilimani
Tardeo,3 BHK Apartment,100000,2000 sq.ft,Fully Furnished,3,Missing,0,1500 sq.ft,Kilimani
Tardeo,3 BHK Apartment,100000,1365 sq.ft,Fully Furnished,Missing,Missing,0,1090 sq.ft,Kilimani
Tardeo,3 BHK Apartment,100000,1365 sq.ft,Fully Furnished,Missing,Missing,0,1090 sq.ft,Kilimani
Bandra,3 BHK Apartment,100000,1500 sq.ft,Fully Furnished,3,3,1,1300 sq.ft,Kilimani
Bandra,3 BHK Apartment,100000,1780 sq.ft,Fully Furnished,2,2,2,1600 sq.ft,Kilimani
Bandra,3 BHK Apartment,100000,1500 sq.ft,Fully Furnished,3,1,1,1250 sq.ft,Kilimani
Bandra,3 BHK Apartment,100000,1500 sq.ft,Fully Furnished,3,1,1,1350 sq.ft,Kilimani
Bandra,3 BHK Apartment,100000,1650 sq.ft,Fully Furnished,3,Missing,2,1235 sq.ft,Kilimani
Grant Road,2 BHK Apartment,100000,1200 sq.ft,Fully Furnished,2,Missing,1,900 sq.ft,Kilimani
Grant Road,3 BHK Apartment,80000,1550 sq.ft,Unfurnished,3,Missing,0,Missing,Kilimani
Juhu,3 BHK Apartment,100000,2000 sq.ft,Fully Furnished,3,Missing,2,1475 sq.ft,Kilimani
Juhu,3 BHK Apartment,80000,1600 sq.ft,Unfurnished,3,Missing,1,1150 sq.ft,Kilimani
Juhu,3 BHK Apartment,100000,1700 sq.ft,Fully Furnished,3,Missing,1,1300 sq.ft,Kilimani
Juhu,2 BHK Apartment,100000,1350 sq.ft,Fully Furnished,3,2,2,1260 sq.ft,Kilimani
Juhu,3 BHK Apartment,100000,2400 sq.ft,Fully Furnished,4,2,2,1800 sq.ft,Kilimani
Khar,3 BHK Apartment,100000,1850 sq.ft,Fully Furnished,3,1,1,1400 sq.ft,Kilimani
Mahalakshmi,3 BHK Apartment,100000,1818 sq.ft,Fully Furnished,3,2,2,1208 sq.ft,Kilimani
Mahim,3 BHK Apartment,80000,1490 sq.ft,Unfurnished,3,Missing,2,Missing,Kilimani
Marine Drive,2 BHK Apartment,100000,1200 sq.ft,Fully Furnished,2,Missing,0,Missing,Kilimani
Matunga,3 BHK Apartment,80000,1499 sq.ft,Unfurnished,3,1,1,1153 sq.ft,Kilimani
Nariman Point,2 BHK Apartment,100000,1200 sq.ft,Fully Furnished,2,Missing,1,950 sq.ft,Kilimani
Powai,3 BHK Apartment,100000,2300 sq.ft,Fully Furnished,4,1,2,1500 sq.ft,Kilimani
Powai,3 BHK Apartment,100000,1350 sq.ft,Fully Furnished,3,1,1,Missing,Kilimani
Tardeo,2 BHK Apartment,100000,1200 sq.ft,Fully Furnished,2,Missing,1,900 sq.ft,Kilimani
Tardeo,2 BHK Apartment,100000,1200 sq.ft,Fully Furnished,2,Missing,1,900 sq.ft,Kilimani
Worli,2 BHK Apartment,100000,1300 sq.ft,Fully Furnished,2,Missing,2,960 sq.ft,Kilimani
Juhu,3 BHK Apartment,100000,1600 sq.ft,Fully Furnished,3,Missing,1,1300 sq.ft,Kilimani
Bandra,3 BHK Apartment,100000,1650 sq.ft,Fully Furnished,3,1,1,1200 sq.ft,Kilimani
Khar,3 BHK Apartment,100000,1650 sq.ft,Fully Furnished,3,Missing,0,1050 sq.ft,Kilimani
Powai,3 BHK Apartment,100000,1790 sq.ft,Fully Furnished,3,1,2,1400 sq.ft,Kilimani
Sion,3 BHK Apartment,100000,1805 sq.ft,Fully Furnished,3,3,1,Missing,Kilimani
Andheri,3 BHK Apartment,70000,1000 sq.ft,Unfurnished,3,1,1,800 sq.ft,South B
Andheri,2 BHK Apartment,40000,1000 sq.ft,Unfurnished,2,Missing,1,800 sq.ft,South C
Bandra,3 BHK Apartment,100000,1700 sq.ft,Fully Furnished,3,Missing,1,1200 sq.ft,Kilimani
Bandra,2 BHK Apartment,100000,1100 sq.ft,Fully Furnished,2,2,1,800 sq.ft,Kilimani
Bandra,2 BHK Apartment,100000,1000 sq.ft,Fully Furnished,2,Missing,1,900 sq.ft,Kilimani
Bandra,3 BHK Apartment,100000,1400 sq.ft,Fully Furnished,3,3,1,1130 sq.ft,Kilimani
Bandra,3 BHK Apartment,100000,1475 sq.ft,Fully Furnished,3,3,1,1275 sq.ft,Kilimani
Bandra,3 BHK Apartment,100000,1350 sq.ft,Fully Furnished,3,3,1,1150 sq.ft,Kilimani
Bandra,3 BHK Apartment,80000,2000 sq.ft,Unfurnished,3,3,2,1211 sq.ft,Kilimani
Bandra,3 BHK Apartment,100000,1500 sq.ft,Fully Furnished,3,1,1,1300 sq.ft,Kilimani
Bandra,3 BHK Apartment,100000,1310 sq.ft,Fully Furnished,3,Missing,1,1210 sq.ft,Kilimani
Colaba,2 BHK Apartment,100000,1250 sq.ft,Fully Furnished,2,1,1,Missing,Kilimani
Dadar,3 BHK Apartment,80000,1950 sq.ft,Unfurnished,3,3,1,1200 sq.ft,Kilimani
Dadar,3 BHK Apartment,80000,1450 sq.ft,Unfurnished,3,4,1,1200 sq.ft,Kilimani
Dadar,3 BHK Apartment,80000,1700 sq.ft,Unfurnished,3,1,1,1500 sq.ft,Kilimani
Dadar,3 BHK Apartment,80000,1350 sq.ft,Unfurnished,3,4,1,Missing,Kilimani
Girgaon,3 BHK Apartment,80000,1500 sq.ft,Unfurnished,3,Missing,0,1300 sq.ft,Kilimani
Juhu,3 BHK Apartment,100000,1500 sq.ft,Fully Furnished,1,1,2,1250 sq.ft,Kilimani
Juhu,3 BHK Apartment,100000,1920 sq.ft,Fully Furnished,3,Missing,1,1600 sq.ft,Kilimani
Juhu,2 BHK Apartment,100000,1350 sq.ft,Fully Furnished,2,2,2,1270 sq.ft,Kilimani
Juhu,3 BHK Apartment,100000,1560 sq.ft,Fully Furnished,3,2,2,1250 sq.ft,Kilimani
Juhu,2 BHK Apartment,100000,1440 sq.ft,Fully Furnished,2,2,2,1200 sq.ft,Kilimani
Juhu,3 BHK Apartment,100000,1920 sq.ft,Fully Furnished,1,1,2,1600 sq.ft,Kilimani
Juhu,2 BHK Apartment,100000,1080 sq.ft,Fully Furnished,2,1,2,900 sq.ft,Kilimani
Juhu,3 BHK Apartment,100000,1400 sq.ft,Fully Furnished,3,1,1,1375 sq.ft,Kilimani
Juhu,3 BHK Apartment,80000,1800 sq.ft,Unfurnished,3,Missing,1,1500 sq.ft,Kilimani
Juhu,3 BHK Apartment,80000,1650 sq.ft,Unfurnished,3,2,1,1150 sq.ft,Kilimani
Juhu,3 BHK Apartment,100000,1500 sq.ft,Fully Furnished,3,2,2,Missing,Kilimani
Juhu,2 BHK Apartment,100000,1200 sq.ft,Fully Furnished,2,Missing,1,900 sq.ft,Kilimani
Juhu,3 BHK Apartment,100000,1500 sq.ft,Fully Furnished,2,Missing,1,1200 sq.ft,Kilimani
Juhu,3 BHK Apartment,100000,1500 sq.ft,Fully Furnished,Missing,Missing,0,Missing,Kilimani
Juhu,3 BHK Apartment,100000,2100 sq.ft,Fully Furnished,4,Missing,2,1600 sq.ft,Kilimani
